ENLIGHTEN Version,1.7.2
Measurement ID,20190716-221457-087029-WP-00438
Serial Number,WP-00438
Label,2mm HDPE
Integration Time,2000
Timestamp,2019-07-16 22:14:57.087029
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,6519.00
356.64,5692.00
358.44,6684.00
360.24,5552.00
362.04,6818.00
363.84,5714.00
365.64,6702.00
367.43,5780.00
369.23,6882.00
371.02,5841.00
372.81,6794.00
374.60,5570.00
376.39,6831.00
378.18,5908.00
379.97,6537.00
381.76,5547.00
383.55,6458.00
385.33,5563.00
387.11,6632.00
388.90,5540.00
390.68,6314.00
392.46,5594.00
394.24,6715.00
396.02,5414.00
397.80,6493.00
399.58,5823.00
401.35,6423.00
403.13,5484.00
404.90,6541.00
406.68,5591.00
408.45,6450.00
410.22,5530.00
411.99,6494.00
413.76,5716.00
415.53,6735.00
417.30,5631.00
419.06,6369.00
420.83,5554.00
422.59,6469.00
424.35,5716.00
426.12,6801.00
427.88,5569.00
429.64,6884.00
431.40,5786.00
433.16,6465.00
434.91,5537.00
436.67,6338.00
438.43,5957.00
440.18,6492.00
441.93,5576.00
443.69,6702.00
445.44,5567.00
447.19,6408.00
448.94,5478.00
450.69,6537.00
452.43,5257.00
454.18,6649.00
455.92,5569.00
457.67,6415.00
459.41,5475.00
461.16,6045.00
462.90,5432.00
464.64,6163.00
466.38,5298.00
468.12,6200.00
469.85,5217.00
471.59,6393.00
473.33,5239.00
475.06,6047.00
476.80,5204.00
478.53,6110.00
480.26,5362.00
481.99,5751.00
483.72,5240.00
485.45,6088.00
487.18,5185.00
488.91,5805.00
490.63,5163.00
492.36,6041.00
494.08,5108.00
495.80,5825.00
497.53,5053.00
499.25,5926.00
500.97,5153.00
502.69,5865.00
504.41,5072.00
506.12,5731.00
507.84,4936.00
509.56,5642.00
511.27,4993.00
512.98,5455.00
514.70,4942.00
516.41,5628.00
518.12,4938.00
519.83,5628.00
521.54,4828.00
523.25,5618.00
524.95,4896.00
526.66,5436.00
528.36,4678.00
530.07,5525.00
531.77,4793.00
533.47,5394.00
535.18,4750.00
536.88,5640.00
538.58,4570.00
540.27,5474.00
541.97,4625.00
543.67,5599.00
545.36,4670.00
547.06,5350.00
548.75,4554.00
550.45,5382.00
552.14,4730.00
553.83,5441.00
555.52,4686.00
557.21,5313.00
558.90,4668.00
560.58,5439.00
562.27,4737.00
563.96,5482.00
565.64,4704.00
567.32,5552.00
569.01,4594.00
570.69,5486.00
572.37,4648.00
574.05,5599.00
575.73,4661.00
577.41,5401.00
579.08,4521.00
580.76,5323.00
582.44,4597.00
584.11,5211.00
585.78,4559.00
587.46,5351.00
589.13,4859.00
590.80,5547.00
592.47,4551.00
594.14,5472.00
595.81,4584.00
597.47,5294.00
599.14,4537.00
600.80,5358.00
602.47,4564.00
604.13,5295.00
605.79,4610.00
607.46,5276.00
609.12,4406.00
610.78,5107.00
612.44,4542.00
614.09,5087.00
615.75,4447.00
617.41,5357.00
619.06,4465.00
620.72,5089.00
622.37,4371.00
624.02,5245.00
625.67,4658.00
627.33,5255.00
628.97,4643.00
630.62,5253.00
632.27,4442.00
633.92,5271.00
635.57,4574.00
637.21,5315.00
638.86,4403.00
640.50,4989.00
642.14,4468.00
643.78,4991.00
645.42,4413.00
647.06,5156.00
648.70,4240.00
650.34,4965.00
651.98,4266.00
653.62,5006.00
655.25,4160.00
656.89,5135.00
658.52,4247.00
660.15,4900.00
661.79,4224.00
663.42,4989.00
665.05,4183.00
666.68,4885.00
668.31,4387.00
669.93,5019.00
671.56,4192.00
673.19,5145.00
674.81,4243.00
676.43,4765.00
678.06,4147.00
679.68,4722.00
681.30,4044.00
682.92,4668.00
684.54,4050.00
686.16,4591.00
687.78,4170.00
689.40,4673.00
691.01,4238.00
692.63,4849.00
694.24,4028.00
695.86,4655.00
697.47,3990.00
699.08,4535.00
700.69,4186.00
702.30,4812.00
703.91,3999.00
705.52,4930.00
707.13,4221.00
708.74,4777.00
710.34,4154.00
711.95,4647.00
713.55,4140.00
715.15,4413.00
716.76,4068.00
718.36,4712.00
719.96,4001.00
721.56,4751.00
723.16,4148.00
724.76,4813.00
726.35,4055.00
727.95,4688.00
729.55,4194.00
731.14,4759.00
732.73,4221.00
734.33,4713.00
735.92,4193.00
737.51,4889.00
739.10,4126.00
740.69,4951.00
742.28,4000.00
743.87,4901.00
745.46,4187.00
747.04,4729.00
748.63,4196.00
750.21,4884.00
751.80,4113.00
753.38,4781.00
754.96,4173.00
756.54,4884.00
758.12,4092.00
759.70,5121.00
761.28,4177.00
762.86,4845.00
764.44,4271.00
766.01,4825.00
767.59,4148.00
769.16,4802.00
770.74,4323.00
772.31,4915.00
773.88,4305.00
775.45,4960.00
777.02,4310.00
778.59,5078.00
780.16,4222.00
781.73,5110.00
783.30,4144.00
784.86,5110.00
786.43,4427.00
787.99,5118.00
789.56,4350.00
791.12,5264.00
792.68,4320.00
794.24,5168.00
795.80,4294.00
797.36,5106.00
798.92,4421.00
800.48,5098.00
802.04,4483.00
803.59,5142.00
805.15,4656.00
806.70,5066.00
808.26,4234.00
809.81,5221.00
811.36,4510.00
812.91,5213.00
814.46,4440.00
816.01,5227.00
817.56,4532.00
