ENLIGHTEN Version,1.7.2
Measurement ID,20190904-111854-213955-WP-00438
Serial Number,WP-00438
Label,HDPE-2
Integration Time,1000
Timestamp,18:54.2
Note,
Temperature,0
CCD C0,807.1400146
CCD C1,0.117610998
CCD C2,-1.64E-05
CCD C3,2.33E-09
CCD Offset,0
CCD Gain,8
Laser Wavelength,785
Laser Enable,TRUE
Laser Power,100
Laser Temperature,0
Pixel Count,1952
,
Wavenumber,Processed
349.43,0
351.23,0
353.04,0
354.84,6963
356.64,6053
358.44,7138
360.24,6336
362.04,7067
363.84,6260
365.64,7039
367.43,6133
369.23,7049
371.02,6408
372.81,7146
374.6,6354
376.39,7158
378.18,6394
379.97,7201
381.76,6169
383.55,7063
385.33,6240
387.11,7102
388.9,5956
390.68,7112
392.46,6350
394.24,6971
396.02,6319
397.8,6898
399.58,6327
401.35,6861
403.13,6311
404.9,7033
406.68,6433
408.45,7155
410.22,6337
411.99,7178
413.76,6525
415.53,7422
417.3,6695
419.06,7753
420.83,6705
422.59,7677
424.35,6762
426.12,7852
427.88,7280
429.64,7803
431.4,7167
433.16,7927
434.91,7246
436.67,7782
438.43,7455
440.18,8090
441.93,7715
443.69,8098
445.44,7597
447.19,7936
448.94,7258
450.69,7928
452.43,7137
454.18,7792
455.92,7095
457.67,7668
459.41,6704
461.16,7667
462.9,6747
464.64,7379
466.38,6610
468.12,7383
469.85,6390
471.59,6918
473.33,6250
475.06,6889
476.8,6158
478.53,6856
480.26,6359
481.99,6357
483.72,5927
485.45,6627
487.18,5984
488.91,6239
490.63,5836
492.36,6610
494.08,5750
495.8,6500
497.53,5672
499.25,6179
500.97,5825
502.69,6185
504.41,5776
506.12,6337
507.84,6119
509.56,6291
511.27,5908
512.98,6298
514.7,5743
516.41,6313
518.12,5843
519.83,6149
521.54,5544
523.25,6382
524.95,5614
526.66,6322
528.36,5792
530.07,6280
531.77,5481
533.47,6258
535.18,5484
536.88,6207
538.58,5530
540.27,6231
541.97,5804
543.67,6188
545.36,5501
547.06,6468
548.75,5886
550.45,6082
552.14,5779
553.83,6388
555.52,5658
557.21,6374
558.9,5797
560.58,6397
562.27,5813
563.96,6474
565.64,5778
567.32,6621
569.01,6068
570.69,6225
572.37,5984
574.05,6759
575.73,6083
577.41,6925
579.08,6064
580.76,7046
582.44,6328
584.11,6946
585.78,6366
587.46,7134
589.13,6801
590.8,7335
592.47,6664
594.14,7702
595.81,7179
597.47,7828
599.14,7204
600.8,7912
602.47,7216
604.13,7564
605.79,7264
607.46,7785
609.12,7026
610.78,7649
612.44,7121
614.09,7612
615.75,7186
617.41,7482
619.06,7084
620.72,7448
622.37,6968
624.02,7191
625.67,6582
627.33,7072
628.97,6558
630.62,7145
632.27,6485
633.92,6720
635.57,5885
637.21,6620
638.86,5955
640.5,6370
642.14,5778
643.78,6423
645.42,5758
647.06,6089
648.7,5588
650.34,6095
651.98,5316
653.62,5873
655.25,5649
656.89,5896
658.52,5527
660.15,5760
661.79,5224
663.42,5669
665.05,5023
666.68,5625
668.31,5259
669.93,5640
671.56,4928
673.19,5549
674.81,5176
676.43,5534
678.06,4897
679.68,5618
681.3,4950
682.92,5390
684.54,5084
686.16,5496
687.78,4833
689.4,5351
691.01,4848
692.63,5231
694.24,4798
695.86,5301
697.47,4713
699.08,5552
700.69,5015
702.3,5297
703.91,4762
705.52,5320
707.13,4767
708.74,5266
710.34,4829
711.95,5356
713.55,4861
715.15,5307
716.76,5061
718.36,5480
719.96,4933
721.56,5511
723.16,5124
724.76,5499
726.35,4872
727.95,5480
729.55,5094
731.14,5256
732.73,4871
734.33,5405
735.92,5009
737.51,5250
739.1,4743
740.69,5402
742.28,4641
743.87,5592
745.46,4868
747.04,5499
748.63,4952
750.21,5417
751.8,5133
753.38,5246
754.96,4910
756.54,5366
758.12,4932
759.7,5085
761.28,4992
762.86,5348
764.44,4922
766.01,5337
767.59,5038
769.16,5376
770.74,4914
772.31,5504
773.88,4863
775.45,5314
777.02,4763
778.59,5641
780.16,4756
781.73,5567
783.3,4802
784.86,5442
786.43,5131
787.99,5330
789.56,5130
791.12,5864
792.68,5016
794.24,5595
795.8,5279
797.36,5360
798.92,5299
800.48,5542
802.04,5207
803.59,5673
805.15,5463
806.7,5810
808.26,5194
809.81,5983
811.36,5039
812.91,5622
814.46,5334
816.01,6017
817.56,5449
819.11,6071
820.66,5519
822.2,6033
823.75,5693
825.3,5871
826.84,5391
828.38,6046
829.93,5555
831.47,5893
833.01,5773
834.55,5883
836.09,5559
837.63,6257
839.16,5849
840.7,6071
842.24,6146
843.77,6491
845.31,5918
846.84,6457
848.37,5857
849.9,6672
851.44,6033
852.97,6614
854.5,5957
856.03,6690
857.55,6075
859.08,6808
860.61,6097
862.13,6749
863.66,5902
865.18,6882
866.7,6192
868.23,7193
869.75,6444
871.27,6832
872.79,6470
874.31,6736
875.83,6102
877.35,7213
878.86,6318
880.38,7046
881.89,6310
883.41,6987
884.92,6410
886.44,6775
887.95,6443
889.46,6894
890.97,6116
892.48,7100
893.99,6394
895.5,6951
897.01,5987
898.51,6801
900.02,6204
901.52,6724
903.03,6156
904.53,6876
906.04,6149
907.54,6509
909.04,5948
910.54,6479
912.04,6119
913.54,6234
915.04,5713
916.53,6495
918.03,5942
919.53,6169
921.02,6148
922.52,6450
924.01,5679
925.5,6193
927,5522
928.49,5987
929.98,5602
931.47,5834
932.96,5768
934.44,6205
935.93,5553
937.42,5824
938.9,5372
940.39,6314
941.87,5681
943.36,5656
944.84,5237
946.32,5969
947.8,5356
949.29,5736
950.77,5402
952.24,5710
953.72,5606
955.2,5553
956.68,5114
958.15,5476
959.63,5430
961.1,5661
962.58,5117
964.05,5367
965.52,5178
967,5637
968.47,5161
969.94,5943
971.41,5269
972.87,5423
974.34,4904
975.81,5469
977.28,4904
978.74,5654
980.21,5179
981.67,5395
983.13,5511
984.6,5703
986.06,5112
987.52,5536
988.98,5165
990.44,5319
991.9,5044
993.36,5700
994.82,5204
996.27,5317
997.73,5254
999.18,5758
1000.64,5066
1002.09,5446
1003.55,5419
1005,5538
1006.45,5012
1007.9,5323
1009.35,5389
1010.8,5891
1012.25,5362
1013.7,5883
1015.14,5338
1016.59,6013
1018.04,5461
1019.48,5916
1020.93,5359
1022.37,5729
1023.81,5441
1025.25,6003
1026.7,5358
1028.14,5848
1029.58,5724
1031.02,6461
1032.45,6052
1033.89,6706
1035.33,6344
1036.77,7294
1038.2,7138
1039.64,7745
1041.07,8002
1042.5,8502
1043.94,8875
1045.37,9682
1046.8,9897
1048.23,10653
1049.66,10538
1051.09,11784
1052.52,11992
1053.95,12722
1055.37,13128
1056.8,14469
1058.23,14256
1059.65,15419
1061.08,14790
1062.5,15677
1063.92,14508
1065.34,15200
1066.76,13854
1068.19,13740
1069.61,12528
1071.02,12491
1072.44,11407
1073.86,11183
1075.28,10383
1076.69,10629
1078.11,9188
1079.53,9710
1080.94,9212
1082.35,9263
1083.77,8753
1085.18,9357
1086.59,8415
1088,8650
1089.41,8230
1090.82,8419
1092.23,8127
1093.64,8087
1095.04,7488
1096.45,7909
1097.86,7532
1099.26,8139
1100.67,7256
1102.07,8305
1103.47,7923
1104.88,8863
1106.28,8996
1107.68,9687
1109.08,9363
1110.48,10402
1111.88,10321
1113.28,11001
1114.67,11130
1116.07,11880
1117.47,11692
1118.86,12817
1120.26,13069
1121.65,14085
1123.05,14211
1124.44,15445
1125.83,15221
1127.22,16276
1128.61,16095
1130,16385
1131.39,15658
1132.78,15477
1134.17,14484
1135.56,13963
1136.94,12626
1138.33,12966
1139.72,10794
1141.1,10739
1142.48,9690
1143.87,9912
1145.25,8633
1146.63,9468
1148.01,8547
1149.39,8663
1150.77,7868
1152.15,8185
1153.53,7590
