ENLIGHTEN Version,1.7.2
Measurement ID,20190716-220742-806872-WP-00438
Serial Number,WP-00438
Label,acetone
Integration Time,1000
Timestamp,2019-07-16 22:07:42.806872
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,547.00
356.64,553.00
358.44,454.00
360.24,429.00
362.04,473.00
363.84,514.00
365.64,469.00
367.43,472.00
369.23,442.00
371.02,616.00
372.81,580.00
374.60,672.00
376.39,770.00
378.18,666.00
379.97,789.00
381.76,831.00
383.55,1172.00
385.33,1080.00
387.11,1118.00
388.90,1283.00
390.68,1259.00
392.46,1350.00
394.24,1499.00
396.02,1224.00
397.80,1285.00
399.58,1205.00
401.35,1274.00
403.13,1268.00
404.90,1319.00
406.68,960.00
408.45,976.00
410.22,697.00
411.99,591.00
413.76,677.00
415.53,550.00
417.30,735.00
419.06,501.00
420.83,393.00
422.59,632.00
424.35,299.00
426.12,260.00
427.88,481.00
429.64,559.00
431.40,269.00
433.16,380.00
434.91,190.00
436.67,443.00
438.43,256.00
440.18,232.00
441.93,521.00
443.69,386.00
445.44,326.00
447.19,267.00
448.94,323.00
450.69,365.00
452.43,348.00
454.18,251.00
455.92,440.00
457.67,370.00
459.41,446.00
461.16,171.00
462.90,399.00
464.64,349.00
466.38,540.00
468.12,427.00
469.85,473.00
471.59,610.00
473.33,542.00
475.06,561.00
476.80,571.00
478.53,620.00
480.26,701.00
481.99,932.00
483.72,1071.00
485.45,1187.00
487.18,1108.00
488.91,1239.00
490.63,1187.00
492.36,1466.00
494.08,1376.00
495.80,1489.00
497.53,1373.00
499.25,1405.00
500.97,1298.00
502.69,1486.00
504.41,1656.00
506.12,1526.00
507.84,1304.00
509.56,1456.00
511.27,1514.00
512.98,1624.00
514.70,1878.00
516.41,1810.00
518.12,1892.00
519.83,2236.00
521.54,2263.00
523.25,2477.00
524.95,2615.00
526.66,2862.00
528.36,3113.00
530.07,3279.00
531.77,3200.00
533.47,3358.00
535.18,3159.00
536.88,3307.00
538.58,3173.00
540.27,2933.00
541.97,2612.00
543.67,2500.00
545.36,2018.00
547.06,2050.00
548.75,1607.00
550.45,1326.00
552.14,1310.00
553.83,1041.00
555.52,1012.00
557.21,972.00
558.90,806.00
560.58,980.00
562.27,706.00
563.96,584.00
565.64,525.00
567.32,346.00
569.01,489.00
570.69,489.00
572.37,360.00
574.05,418.00
575.73,453.00
577.41,308.00
579.08,387.00
580.76,417.00
582.44,504.00
584.11,400.00
585.78,351.00
587.46,321.00
589.13,366.00
590.80,313.00
592.47,307.00
594.14,266.00
595.81,258.00
597.47,206.00
599.14,182.00
600.80,150.00
602.47,337.00
604.13,400.00
605.79,209.00
607.46,147.00
609.12,277.00
610.78,237.00
612.44,101.00
614.09,190.00
615.75,250.00
617.41,243.00
619.06,188.00
620.72,190.00
622.37,206.00
624.02,142.00
625.67,158.00
627.33,101.00
628.97,157.00
630.62,150.00
632.27,171.00
633.92,48.00
635.57,151.00
637.21,59.00
638.86,150.00
640.50,61.00
642.14,124.00
643.78,203.00
645.42,66.00
647.06,184.00
648.70,204.00
650.34,61.00
651.98,2.00
653.62,316.00
655.25,102.00
656.89,38.00
658.52,133.00
660.15,121.00
661.79,154.00
663.42,39.00
665.05,277.00
666.68,150.00
668.31,273.00
669.93,290.00
671.56,302.00
673.19,213.00
674.81,17.00
676.43,6.00
678.06,260.00
679.68,50.00
681.30,260.00
682.92,329.00
684.54,71.00
686.16,255.00
687.78,158.00
689.40,229.00
691.01,247.00
692.63,234.00
694.24,272.00
695.86,328.00
697.47,290.00
699.08,267.00
700.69,204.00
702.30,22.00
703.91,182.00
705.52,295.00
707.13,259.00
708.74,236.00
710.34,38.00
711.95,155.00
713.55,61.00
715.15,203.00
716.76,397.00
718.36,317.00
719.96,289.00
721.56,355.00
723.16,540.00
724.76,258.00
726.35,419.00
727.95,289.00
729.55,363.00
731.14,281.00
732.73,467.00
734.33,416.00
735.92,453.00
737.51,445.00
739.10,400.00
740.69,523.00
742.28,601.00
743.87,517.00
745.46,726.00
747.04,841.00
748.63,768.00
750.21,909.00
751.80,1023.00
753.38,1219.00
754.96,1228.00
756.54,1329.00
758.12,1417.00
759.70,1829.00
761.28,1986.00
762.86,2459.00
764.44,3078.00
766.01,3665.00
767.59,4358.00
769.16,5204.00
770.74,6063.00
772.31,7297.00
773.88,8414.00
775.45,10452.00
777.02,12199.00
778.59,14659.00
780.16,16407.00
781.73,19009.00
783.30,19878.00
784.86,22585.00
786.43,22535.00
787.99,24071.00
789.56,23153.00
791.12,22930.00
792.68,20892.00
794.24,20536.00
795.80,17802.00
797.36,16560.00
798.92,14085.00
800.48,12593.00
802.04,9845.00
803.59,8589.00
805.15,6639.00
806.70,5795.00
808.26,4264.00
809.81,3938.00
811.36,3142.00
812.91,2933.00
814.46,2430.00
816.01,2308.00
817.56,1926.00
819.11,1820.00
820.66,1513.00
822.20,1509.00
823.75,1294.00
825.30,1333.00
826.84,1285.00
828.38,1125.00
829.93,1122.00
831.47,1119.00
833.01,948.00
834.55,956.00
836.09,1017.00
837.63,1058.00
839.16,905.00
840.70,836.00
842.24,817.00
843.77,846.00
845.31,890.00
846.84,785.00
848.37,817.00
849.90,694.00
851.44,680.00
852.97,879.00
854.50,625.00
856.03,768.00
857.55,781.00
859.08,673.00
860.61,914.00
862.13,592.00
863.66,928.00
865.18,872.00
866.70,844.00
