ENLIGHTEN Version,1.7.2
Measurement ID,20190716-220829-465471-WP-00438
Serial Number,WP-00438
Label,alkanes
Integration Time,1000
Timestamp,2019-07-16 22:08:29.465471
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,1381.00
356.64,1350.00
358.44,1190.00
360.24,1255.00
362.04,1392.00
363.84,1388.00
365.64,1344.00
367.43,1338.00
369.23,1448.00
371.02,1429.00
372.81,1481.00
374.60,1486.00
376.39,1520.00
378.18,1491.00
379.97,1428.00
381.76,1513.00
383.55,1688.00
385.33,1478.00
387.11,1681.00
388.90,1465.00
390.68,1513.00
392.46,1610.00
394.24,1661.00
396.02,1736.00
397.80,1532.00
399.58,1538.00
401.35,1716.00
403.13,1684.00
404.90,1707.00
406.68,1745.00
408.45,1941.00
410.22,1700.00
411.99,1691.00
413.76,1719.00
415.53,1746.00
417.30,1896.00
419.06,1795.00
420.83,1685.00
422.59,1818.00
424.35,1558.00
426.12,1714.00
427.88,1713.00
429.64,1786.00
431.40,1711.00
433.16,1836.00
434.91,1890.00
436.67,1849.00
438.43,1723.00
440.18,1607.00
441.93,1637.00
443.69,1760.00
445.44,1603.00
447.19,1859.00
448.94,1616.00
450.69,1788.00
452.43,1614.00
454.18,1511.00
455.92,1600.00
457.67,1731.00
459.41,1789.00
461.16,1443.00
462.90,1700.00
464.64,1503.00
466.38,1666.00
468.12,1423.00
469.85,1433.00
471.59,1669.00
473.33,1462.00
475.06,1593.00
476.80,1463.00
478.53,1425.00
480.26,1446.00
481.99,1615.00
483.72,1551.00
485.45,1694.00
487.18,1571.00
488.91,1510.00
490.63,1619.00
492.36,1618.00
494.08,1609.00
495.80,1622.00
497.53,1509.00
499.25,1569.00
500.97,1596.00
502.69,1702.00
504.41,1607.00
506.12,1569.00
507.84,1257.00
509.56,1496.00
511.27,1322.00
512.98,1201.00
514.70,1245.00
516.41,1298.00
518.12,1185.00
519.83,1336.00
521.54,1022.00
523.25,1230.00
524.95,1184.00
526.66,1301.00
528.36,1150.00
530.07,1163.00
531.77,1161.00
533.47,1293.00
535.18,1249.00
536.88,1175.00
538.58,1288.00
540.27,1162.00
541.97,988.00
543.67,1123.00
545.36,992.00
547.06,851.00
548.75,1121.00
550.45,804.00
552.14,868.00
553.83,797.00
555.52,828.00
557.21,921.00
558.90,1028.00
560.58,870.00
562.27,927.00
563.96,843.00
565.64,834.00
567.32,739.00
569.01,756.00
570.69,838.00
572.37,830.00
574.05,723.00
575.73,630.00
577.41,656.00
579.08,818.00
580.76,864.00
582.44,799.00
584.11,705.00
585.78,698.00
587.46,789.00
589.13,664.00
590.80,630.00
592.47,712.00
594.14,700.00
595.81,619.00
597.47,798.00
599.14,509.00
600.80,607.00
602.47,641.00
604.13,549.00
605.79,722.00
607.46,622.00
609.12,744.00
610.78,654.00
612.44,613.00
614.09,637.00
615.75,644.00
617.41,651.00
619.06,553.00
620.72,408.00
622.37,579.00
624.02,597.00
625.67,660.00
627.33,465.00
628.97,535.00
630.62,610.00
632.27,549.00
633.92,451.00
635.57,427.00
637.21,597.00
638.86,465.00
640.50,479.00
642.14,515.00
643.78,312.00
645.42,429.00
647.06,354.00
648.70,494.00
650.34,321.00
651.98,249.00
653.62,480.00
655.25,404.00
656.89,511.00
658.52,394.00
660.15,360.00
661.79,507.00
663.42,361.00
665.05,472.00
666.68,345.00
668.31,321.00
669.93,556.00
671.56,474.00
673.19,575.00
674.81,408.00
676.43,250.00
678.06,511.00
679.68,316.00
681.30,447.00
682.92,544.00
684.54,635.00
686.16,545.00
687.78,562.00
689.40,522.00
691.01,529.00
692.63,438.00
694.24,593.00
695.86,676.00
697.47,724.00
699.08,617.00
700.69,661.00
702.30,604.00
703.91,751.00
705.52,885.00
707.13,879.00
708.74,858.00
710.34,744.00
711.95,716.00
713.55,813.00
715.15,1211.00
716.76,1055.00
718.36,1061.00
719.96,984.00
721.56,1210.00
723.16,1234.00
724.76,1415.00
726.35,1222.00
727.95,1322.00
729.55,1393.00
731.14,1316.00
732.73,1594.00
734.33,1433.00
735.92,1589.00
737.51,1650.00
739.10,1806.00
740.69,2064.00
742.28,1935.00
743.87,1882.00
745.46,2104.00
747.04,2097.00
748.63,2271.00
750.21,2374.00
751.80,2420.00
753.38,2550.00
754.96,2504.00
756.54,2530.00
758.12,2493.00
759.70,2710.00
761.28,2520.00
762.86,2665.00
764.44,2660.00
766.01,2754.00
767.59,2881.00
769.16,2744.00
770.74,2825.00
772.31,2901.00
773.88,2660.00
775.45,2738.00
777.02,2749.00
778.59,2830.00
780.16,2508.00
781.73,2575.00
783.30,2419.00
784.86,2593.00
786.43,2468.00
787.99,2544.00
789.56,2484.00
791.12,2565.00
792.68,2251.00
794.24,2547.00
795.80,2315.00
797.36,2425.00
798.92,2445.00
800.48,2533.00
802.04,2220.00
803.59,2501.00
805.15,2551.00
806.70,2487.00
808.26,2547.00
809.81,2638.00
811.36,2748.00
812.91,2933.00
814.46,2757.00
816.01,2735.00
817.56,3039.00
819.11,3042.00
820.66,3133.00
822.20,3192.00
823.75,3215.00
825.30,3559.00
826.84,3277.00
828.38,3099.00
829.93,3314.00
831.47,3325.00
833.01,3305.00
834.55,3456.00
836.09,3396.00
837.63,3710.00
839.16,3512.00
840.70,3716.00
842.24,3441.00
843.77,3829.00
845.31,3913.00
846.84,3726.00
848.37,3725.00
849.90,3706.00
851.44,3505.00
852.97,3644.00
854.50,3366.00
856.03,3383.00
857.55,3066.00
859.08,3458.00
860.61,3255.00
862.13,3223.00
863.66,3239.00
865.18,3070.00
866.70,3155.00
868.23,3246.00
869.75,3036.00
871.27,3363.00
872.79,3320.00
874.31,3238.00
875.83,3299.00
877.35,3424.00
878.86,3305.00
880.38,3233.00
881.89,3439.00
883.41,3582.00
884.92,3530.00
886.44,3541.00
887.95,3414.00
889.46,3668.00
890.97,3524.00
892.48,3789.00
893.99,3548.00
895.50,3810.00
897.01,3487.00
898.51,3502.00
900.02,3417.00
901.52,3427.00
903.03,3205.00
904.53,3052.00
906.04,2767.00
907.54,2760.00
909.04,2812.00
910.54,2654.00
912.04,2598.00
913.54,2372.00
915.04,2284.00
916.53,2383.00
918.03,2428.00
919.53,2434.00
921.02,2282.00
922.52,2217.00
924.01,2095.00
925.50,2154.00
927.00,2235.00
928.49,2216.00
929.98,2080.00
931.47,2196.00
932.96,2050.00
934.44,2185.00
935.93,1849.00
937.42,2149.00
938.90,2151.00
940.39,2075.00
941.87,2197.00
943.36,2029.00
944.84,2123.00
946.32,2084.00
947.80,2025.00
949.29,2270.00
950.77,1948.00
952.24,2209.00
953.72,2235.00
955.20,2165.00
956.68,2247.00
958.15,2408.00
959.63,2220.00
