ENLIGHTEN Version,1.7.2
Measurement ID,20190716-220650-336364-WP-00438
Serial Number,WP-00438
Label,cyclohexane
Integration Time,500
Timestamp,2019-07-16 22:06:50.336364
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,41.00
356.64,51.00
358.44,83.00
360.24,134.00
362.04,158.00
363.84,90.00
365.64,324.00
367.43,241.00
369.23,287.00
371.02,326.00
372.81,451.00
374.60,403.00
376.39,496.00
378.18,624.00
379.97,671.00
381.76,769.00
383.55,885.00
385.33,728.00
387.11,1091.00
388.90,869.00
390.68,965.00
392.46,711.00
394.24,877.00
396.02,832.00
397.80,725.00
399.58,658.00
401.35,603.00
403.13,463.00
404.90,549.00
406.68,387.00
408.45,422.00
410.22,477.00
411.99,425.00
413.76,579.00
415.53,597.00
417.30,612.00
419.06,737.00
420.83,794.00
422.59,910.00
424.35,946.00
426.12,1019.00
427.88,1092.00
429.64,1133.00
431.40,1054.00
433.16,1149.00
434.91,1011.00
436.67,974.00
438.43,791.00
440.18,640.00
441.93,747.00
443.69,602.00
445.44,446.00
447.19,420.00
448.94,374.00
450.69,330.00
452.43,259.00
454.18,386.00
455.92,276.00
457.67,201.00
459.41,175.00
461.16,116.00
462.90,178.00
464.64,110.00
466.38,126.00
468.12,154.00
469.85,102.00
471.59,219.00
473.33,88.00
475.06,206.00
476.80,269.00
478.53,177.00
480.26,154.00
481.99,146.00
483.72,196.00
485.45,138.00
487.18,108.00
488.91,94.00
490.63,107.00
492.36,108.00
494.08,76.00
495.80,39.00
497.53,183.00
499.25,-28.00
500.97,176.00
502.69,56.00
504.41,104.00
506.12,14.00
507.84,95.00
509.56,10.00
511.27,104.00
512.98,86.00
514.70,19.00
516.41,7.00
518.12,15.00
519.83,86.00
521.54,20.00
523.25,48.00
524.95,112.00
526.66,99.00
528.36,-36.00
530.07,22.00
531.77,3.00
533.47,-25.00
535.18,86.00
536.88,3.00
538.58,42.00
540.27,-22.00
541.97,-13.00
543.67,12.00
545.36,-23.00
547.06,-66.00
548.75,-28.00
550.45,-1.00
552.14,-22.00
553.83,-52.00
555.52,51.00
557.21,87.00
558.90,-48.00
560.58,57.00
562.27,-78.00
563.96,-181.00
565.64,-20.00
567.32,52.00
569.01,76.00
570.69,91.00
572.37,26.00
574.05,-82.00
575.73,21.00
577.41,0.00
579.08,-28.00
580.76,34.00
582.44,-90.00
584.11,67.00
585.78,10.00
587.46,-18.00
589.13,30.00
590.80,1.00
592.47,28.00
594.14,5.00
595.81,21.00
597.47,-130.00
599.14,-113.00
600.80,77.00
602.47,-33.00
604.13,2.00
605.79,28.00
607.46,-1.00
609.12,-13.00
610.78,-10.00
612.44,-56.00
614.09,-55.00
615.75,61.00
617.41,72.00
619.06,90.00
620.72,-13.00
622.37,84.00
624.02,26.00
625.67,-19.00
627.33,16.00
628.97,-48.00
630.62,-54.00
632.27,-34.00
633.92,-89.00
635.57,57.00
637.21,32.00
638.86,65.00
640.50,-62.00
642.14,-29.00
643.78,15.00
645.42,41.00
647.06,-102.00
648.70,-12.00
650.34,-75.00
651.98,7.00
653.62,-93.00
655.25,-9.00
656.89,-16.00
658.52,76.00
660.15,-42.00
661.79,73.00
663.42,-7.00
665.05,52.00
666.68,-1.00
668.31,-87.00
669.93,45.00
671.56,-26.00
673.19,-41.00
674.81,42.00
676.43,-93.00
678.06,74.00
679.68,-17.00
681.30,80.00
682.92,-92.00
684.54,-73.00
686.16,-59.00
687.78,-9.00
689.40,34.00
691.01,-32.00
692.63,51.00
694.24,-87.00
695.86,-21.00
697.47,31.00
699.08,-72.00
700.69,-4.00
702.30,17.00
703.91,-66.00
705.52,-5.00
707.13,26.00
708.74,20.00
710.34,37.00
711.95,-44.00
713.55,15.00
715.15,-82.00
716.76,0.00
718.36,-42.00
719.96,83.00
721.56,66.00
723.16,86.00
724.76,128.00
726.35,-2.00
727.95,34.00
729.55,-17.00
731.14,28.00
732.73,-10.00
734.33,99.00
735.92,106.00
737.51,20.00
739.10,25.00
740.69,79.00
742.28,39.00
743.87,204.00
745.46,179.00
747.04,72.00
748.63,34.00
750.21,181.00
751.80,165.00
753.38,147.00
