ENLIGHTEN Version,1.7.2
Measurement ID,20190716-220814-207211-WP-00438
Serial Number,WP-00438
Label,ethanol
Integration Time,1000
Timestamp,2019-07-16 22:08:14.207211
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,65.00
356.64,189.00
358.44,74.00
360.24,302.00
362.04,190.00
363.84,193.00
365.64,33.00
367.43,288.00
369.23,211.00
371.02,232.00
372.81,175.00
374.60,192.00
376.39,204.00
378.18,202.00
379.97,99.00
381.76,246.00
383.55,230.00
385.33,345.00
387.11,309.00
388.90,336.00
390.68,87.00
392.46,392.00
394.24,498.00
396.02,350.00
397.80,315.00
399.58,398.00
401.35,362.00
403.13,450.00
404.90,460.00
406.68,657.00
408.45,635.00
410.22,432.00
411.99,440.00
413.76,387.00
415.53,825.00
417.30,949.00
419.06,950.00
420.83,982.00
422.59,1175.00
424.35,1101.00
426.12,1219.00
427.88,1495.00
429.64,1884.00
431.40,1618.00
433.16,1863.00
434.91,1925.00
436.67,1964.00
438.43,1863.00
440.18,1733.00
441.93,1895.00
443.69,1691.00
445.44,1713.00
447.19,1592.00
448.94,1512.00
450.69,1666.00
452.43,1470.00
454.18,1302.00
455.92,1230.00
457.67,1093.00
459.41,1130.00
461.16,1010.00
462.90,929.00
464.64,684.00
466.38,895.00
468.12,742.00
469.85,727.00
471.59,894.00
473.33,535.00
475.06,574.00
476.80,584.00
478.53,398.00
480.26,491.00
481.99,571.00
483.72,467.00
485.45,650.00
487.18,435.00
488.91,402.00
490.63,381.00
492.36,248.00
494.08,398.00
495.80,359.00
497.53,354.00
499.25,220.00
500.97,318.00
502.69,421.00
504.41,366.00
506.12,388.00
507.84,219.00
509.56,356.00
511.27,213.00
512.98,165.00
514.70,233.00
516.41,333.00
518.12,214.00
519.83,295.00
521.54,181.00
523.25,174.00
524.95,64.00
526.66,236.00
528.36,314.00
530.07,364.00
531.77,227.00
533.47,358.00
535.18,381.00
536.88,304.00
538.58,249.00
540.27,262.00
541.97,345.00
543.67,177.00
545.36,214.00
547.06,195.00
548.75,197.00
550.45,24.00
552.14,203.00
553.83,175.00
555.52,125.00
557.21,113.00
558.90,247.00
560.58,282.00
562.27,260.00
563.96,137.00
565.64,229.00
567.32,118.00
569.01,265.00
570.69,402.00
572.37,188.00
574.05,162.00
575.73,246.00
577.41,66.00
579.08,241.00
580.76,417.00
582.44,316.00
584.11,326.00
585.78,222.00
587.46,328.00
589.13,165.00
590.80,186.00
592.47,334.00
594.14,236.00
595.81,294.00
597.47,404.00
599.14,41.00
600.80,268.00
602.47,214.00
604.13,256.00
605.79,300.00
607.46,195.00
609.12,422.00
610.78,188.00
612.44,172.00
614.09,226.00
615.75,328.00
617.41,309.00
619.06,290.00
620.72,203.00
622.37,224.00
624.02,357.00
