ENLIGHTEN Version,1.7.2
Measurement ID,20190904-111716-276404-WP-00438
Serial Number,WP-00438
Label,ibuprofen-2
Integration Time,1000
Timestamp,17:16.3
Note,
Temperature,0
CCD C0,807.1400146
CCD C1,0.117610998
CCD C2,-1.64E-05
CCD C3,2.33E-09
CCD Offset,0
CCD Gain,8
Laser Wavelength,785
Laser Enable,TRUE
Laser Power,100
Laser Temperature,0
Pixel Count,1952
,
Wavenumber,Processed
349.43,0
351.23,0
353.04,0
354.84,7690
356.64,6950
358.44,7883
360.24,7204
362.04,8130
363.84,7289
365.64,8292
367.43,7342
369.23,7964
371.02,6819
372.81,7734
374.6,6832
376.39,7520
378.18,6792
379.97,7529
381.76,6398
383.55,7358
385.33,6298
387.11,7269
388.9,6383
390.68,7174
392.46,6128
394.24,7043
396.02,6224
397.8,7083
399.58,6293
401.35,7007
403.13,6275
404.9,7319
406.68,7046
408.45,7625
410.22,7061
411.99,8335
413.76,7524
415.53,8569
417.3,7585
419.06,8960
420.83,8085
422.59,9118
424.35,8263
426.12,9058
427.88,8125
429.64,8712
431.4,7918
433.16,8471
434.91,7690
436.67,8202
438.43,7169
440.18,7706
441.93,6997
443.69,7305
445.44,6373
447.19,6793
448.94,6109
450.69,6520
452.43,5892
454.18,6331
455.92,5553
457.67,6272
459.41,5226
461.16,5630
462.9,5266
464.64,5784
466.38,5449
468.12,5976
469.85,5289
471.59,5691
473.33,5278
475.06,5766
476.8,5372
478.53,5862
480.26,5352
481.99,6023
483.72,5426
485.45,6083
487.18,5777
488.91,6293
490.63,5936
492.36,6441
494.08,6059
495.8,6414
497.53,5997
499.25,6540
500.97,5959
502.69,6518
504.41,5991
506.12,6514
507.84,5956
509.56,6215
511.27,5754
512.98,6156
514.7,5779
516.41,5924
518.12,5411
519.83,5767
521.54,5002
523.25,5326
524.95,4968
526.66,5142
528.36,4770
530.07,4959
531.77,4216
533.47,4902
535.18,4327
536.88,4648
538.58,4079
540.27,4631
541.97,4102
543.67,4648
545.36,4093
547.06,4404
548.75,3991
550.45,4538
552.14,4023
553.83,4610
555.52,4111
557.21,4394
558.9,3968
560.58,4520
562.27,4091
563.96,4428
565.64,4089
567.32,4772
569.01,4102
570.69,4842
572.37,4222
574.05,4949
575.73,4507
577.41,5037
579.08,4603
580.76,5330
582.44,4773
584.11,5502
585.78,4878
587.46,5429
589.13,4927
590.8,5302
592.47,4777
594.14,5170
595.81,4801
597.47,4967
599.14,4462
600.8,4892
602.47,4200
604.13,4806
605.79,4444
607.46,4771
609.12,4357
610.78,4967
612.44,4575
614.09,5479
615.75,4973
617.41,6096
619.06,5794
620.72,6693
622.37,6583
624.02,7399
625.67,7269
627.33,8148
628.97,7974
630.62,8871
632.27,8611
633.92,9073
635.57,8637
637.21,9135
638.86,8395
640.5,8933
642.14,7788
643.78,8101
645.42,7025
647.06,7694
648.7,6592
650.34,6759
651.98,5891
653.62,6501
655.25,5808
656.89,6147
658.52,5709
660.15,6085
661.79,5641
663.42,6024
665.05,5587
666.68,5919
668.31,5350
669.93,5601
671.56,5281
673.19,5510
674.81,4992
676.43,5129
678.06,4700
679.68,4952
681.3,4456
682.92,4831
684.54,4376
686.16,4651
687.78,4098
689.4,4702
691.01,3998
692.63,4669
694.24,4079
695.86,4558
697.47,4284
699.08,4739
700.69,4275
702.3,4536
703.91,4253
705.52,4475
707.13,4210
708.74,4520
710.34,4027
711.95,4508
713.55,4140
715.15,4296
716.76,3730
718.36,4283
719.96,3808
721.56,4437
723.16,3940
724.76,4445
726.35,3992
727.95,4493
729.55,4348
731.14,5243
732.73,4909
734.33,5617
735.92,5293
737.51,6219
739.1,6046
740.69,6665
742.28,6579
743.87,7441
745.46,7097
747.04,8142
748.63,7866
750.21,8460
751.8,8144
753.38,8220
754.96,7776
756.54,8274
758.12,7533
759.7,7998
761.28,7319
762.86,7884
764.44,7099
766.01,7568
767.59,7284
769.16,7810
770.74,7737
772.31,8596
773.88,8534
775.45,9540
777.02,9329
778.59,10558
780.16,10245
781.73,11107
783.3,10595
784.86,11504
786.43,10892
787.99,11412
789.56,10716
791.12,11299
792.68,10257
794.24,10828
795.8,9933
797.36,10092
798.92,9334
800.48,10116
802.04,9566
803.59,10267
805.15,9739
806.7,10830
808.26,10549
809.81,11743
811.36,11597
812.91,13095
814.46,12931
816.01,14403
817.56,14234
819.11,15600
820.66,15497
822.2,16960
823.75,16596
825.3,18332
826.84,17601
828.38,19012
829.93,18374
831.47,19337
833.01,18367
834.55,19654
836.09,17994
837.63,18780
839.16,17660
840.7,17870
842.24,16478
843.77,16815
845.31,15151
846.84,15450
848.37,13487
849.9,13475
851.44,12088
852.97,12103
854.5,10727
856.03,10513
857.55,9557
859.08,9596
860.61,8598
862.13,8850
863.66,7803
865.18,8310
866.7,7572
868.23,8197
869.75,7474
871.27,7915
872.79,7326
874.31,8270
875.83,7439
877.35,8363
878.86,7576
880.38,8588
881.89,7709
883.41,8661
884.92,7813
886.44,8558
887.95,7961
889.46,8176
890.97,7697
892.48,8095
893.99,7161
895.5,7712
897.01,6772
898.51,7344
900.02,6628
901.52,6905
903.03,6274
904.53,6529
906.04,5810
907.54,6223
909.04,5734
910.54,6187
912.04,5635
913.54,6063
915.04,5577
916.53,6126
918.03,5558
919.53,6434
921.02,5565
922.52,6540
924.01,5729
925.5,6438
927,6077
928.49,6489
929.98,6413
931.47,6866
932.96,6757
934.44,7461
935.93,6987
937.42,7990
938.9,7682
940.39,8717
941.87,8245
943.36,9110
944.84,8686
946.32,9610
947.8,9170
949.29,9872
950.77,9183
952.24,9826
953.72,9000
955.2,9636
956.68,8659
958.15,9189
959.63,8126
961.1,8453
962.58,7489
964.05,7553
965.52,6720
967,6976
968.47,6345
969.94,6469
971.41,5822
972.87,6306
974.34,5677
975.81,5817
977.28,5679
978.74,6062
980.21,5827
981.67,6076
983.13,5778
984.6,6510
986.06,6071
987.52,6646
988.98,6598
990.44,7558
991.9,7201
993.36,7938
994.82,8141
996.27,8770
997.73,8909
999.18,9303
1000.64,8919
1002.09,9877
1003.55,9049
1005,9398
1006.45,8946
1007.9,8567
1009.35,7999
