ENLIGHTEN Version,1.7.2
Measurement ID,20190716-220842-696640-WP-00438
Serial Number,WP-00438
Label,ibuprofen
Integration Time,1000
Timestamp,2019-07-16 22:08:42.696640
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,4706.00
356.64,4254.00
358.44,4601.00
360.24,4337.00
362.04,4792.00
363.84,4269.00
365.64,4774.00
367.43,4309.00
369.23,4780.00
371.02,4412.00
372.81,4422.00
374.60,4051.00
376.39,4587.00
378.18,3971.00
379.97,4083.00
381.76,3845.00
383.55,4166.00
385.33,3728.00
387.11,3683.00
388.90,3636.00
390.68,3781.00
392.46,3646.00
394.24,3887.00
396.02,3722.00
397.80,3857.00
399.58,3640.00
401.35,3714.00
403.13,3842.00
404.90,4105.00
406.68,4233.00
408.45,4835.00
410.22,4182.00
411.99,4762.00
413.76,4655.00
415.53,5080.00
417.30,4942.00
419.06,5376.00
420.83,5136.00
422.59,5651.00
424.35,5072.00
426.12,5360.00
427.88,5108.00
429.64,5525.00
431.40,4873.00
433.16,5370.00
434.91,4900.00
436.67,5073.00
438.43,4567.00
440.18,4544.00
441.93,4190.00
443.69,3943.00
445.44,3670.00
447.19,3511.00
448.94,3177.00
450.69,3498.00
452.43,3093.00
454.18,3163.00
455.92,3032.00
457.67,3058.00
459.41,2979.00
461.16,2896.00
462.90,2819.00
464.64,2853.00
466.38,2694.00
468.12,2718.00
469.85,2743.00
471.59,2982.00
473.33,2675.00
475.06,2746.00
476.80,3048.00
478.53,2934.00
480.26,2913.00
481.99,3254.00
483.72,3152.00
485.45,3554.00
487.18,3354.00
488.91,3400.00
490.63,3313.00
492.36,3588.00
494.08,3551.00
495.80,3841.00
497.53,3525.00
499.25,3870.00
500.97,3627.00
502.69,4014.00
504.41,3807.00
506.12,3863.00
507.84,3878.00
509.56,3706.00
511.27,3517.00
