ENLIGHTEN Version,1.7.2
Measurement ID,20190716-220757-898920-WP-00438
Serial Number,WP-00438
Label,isopropanol
Integration Time,1000
Timestamp,2019-07-16 22:07:57.898920
Note,
Temperature,-99
CCD C0,807.1400146484375
CCD C1,0.11761099845170975
CCD C2,-1.6414700439781882e-05
CCD C3,2.3293600381890656e-09
CCD Offset,0
CCD Gain,8.0
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
349.43,0.00
351.23,0.00
353.04,0.00
354.84,417.00
356.64,442.00
358.44,437.00
360.24,499.00
362.04,675.00
363.84,616.00
365.64,843.00
367.43,689.00
369.23,786.00
371.02,1120.00
372.81,966.00
374.60,1130.00
376.39,1401.00
378.18,1140.00
379.97,1142.00
381.76,1262.00
383.55,1234.00
385.33,1134.00
387.11,979.00
388.90,1156.00
390.68,973.00
392.46,1038.00
394.24,811.00
396.02,1020.00
397.80,890.00
399.58,718.00
401.35,876.00
403.13,703.00
404.90,820.00
406.68,812.00
408.45,1079.00
410.22,599.00
411.99,795.00
413.76,766.00
415.53,1131.00
417.30,1238.00
419.06,1090.00
420.83,1263.00
422.59,1440.00
424.35,1047.00
426.12,1396.00
427.88,1244.00
429.64,1816.00
431.40,1729.00
433.16,1779.00
434.91,1883.00
436.67,1990.00
438.43,1472.00
440.18,1769.00
441.93,1866.00
443.69,1740.00
445.44,1645.00
447.19,1710.00
448.94,1544.00
450.69,1484.00
452.43,1486.00
454.18,1346.00
455.92,1428.00
457.67,1277.00
459.41,1292.00
461.16,1094.00
462.90,1230.00
464.64,954.00
466.38,1120.00
468.12,910.00
469.85,1046.00
471.59,1015.00
473.33,944.00
475.06,1132.00
476.80,1106.00
478.53,1334.00
480.26,1163.00
481.99,1507.00
483.72,1675.00
485.45,1863.00
487.18,1796.00
488.91,1941.00
490.63,2200.00
492.36,1931.00
494.08,2075.00
495.80,2041.00
497.53,1772.00
499.25,1854.00
500.97,1616.00
502.69,1622.00
504.41,1572.00
506.12,1523.00
507.84,1213.00
509.56,1267.00
511.27,811.00
512.98,856.00
514.70,691.00
516.41,726.00
518.12,667.00
519.83,667.00
521.54,452.00
523.25,526.00
524.95,322.00
526.66,433.00
528.36,562.00
530.07,430.00
531.77,571.00
533.47,392.00
535.18,550.00
536.88,387.00
538.58,407.00
540.27,449.00
541.97,426.00
543.67,442.00
545.36,345.00
547.06,368.00
548.75,373.00
550.45,207.00
552.14,356.00
553.83,195.00
555.52,264.00
557.21,214.00
558.90,440.00
560.58,334.00
562.27,360.00
563.96,309.00
565.64,275.00
567.32,269.00
569.01,247.00
570.69,227.00
572.37,347.00
574.05,276.00
575.73,277.00
577.41,192.00
579.08,352.00
580.76,364.00
582.44,444.00
584.11,330.00
585.78,204.00
587.46,366.00
589.13,425.00
590.80,192.00
592.47,338.00
594.14,222.00
595.81,363.00
597.47,429.00
599.14,207.00
600.80,195.00
602.47,304.00
604.13,434.00
605.79,286.00
607.46,200.00
609.12,378.00
610.78,160.00
612.44,368.00
614.09,279.00
615.75,373.00
617.41,476.00
619.06,349.00
620.72,309.00
622.37,452.00
624.02,339.00
625.67,292.00
627.33,92.00
628.97,213.00
630.62,178.00
632.27,255.00
633.92,155.00
635.57,214.00
637.21,257.00
638.86,352.00
640.50,103.00
642.14,347.00
643.78,162.00
645.42,239.00
647.06,353.00
648.70,400.00
650.34,285.00
651.98,300.00
653.62,428.00
655.25,238.00
656.89,357.00
658.52,196.00
660.15,201.00
661.79,302.00
663.42,164.00
665.05,379.00
666.68,225.00
668.31,250.00
669.93,314.00
671.56,285.00
673.19,335.00
674.81,157.00
676.43,152.00
678.06,400.00
679.68,168.00
681.30,275.00
682.92,261.00
684.54,408.00
686.16,254.00
687.78,193.00
689.40,217.00
691.01,304.00
692.63,345.00
694.24,297.00
695.86,342.00
697.47,399.00
699.08,268.00
700.69,157.00
702.30,260.00
703.91,332.00
705.52,406.00
707.13,328.00
708.74,312.00
710.34,152.00
711.95,256.00
713.55,256.00
715.15,353.00
716.76,390.00
718.36,324.00
719.96,334.00
721.56,267.00
723.16,428.00
724.76,294.00
726.35,382.00
727.95,209.00
729.55,344.00
731.14,195.00
732.73,468.00
734.33,184.00
735.92,377.00
737.51,279.00
739.10,263.00
740.69,390.00
742.28,371.00
743.87,224.00
745.46,430.00
747.04,330.00
748.63,380.00
750.21,428.00
751.80,360.00
753.38,324.00
754.96,437.00
756.54,359.00
758.12,333.00
759.70,421.00
761.28,309.00
762.86,360.00
764.44,382.00
766.01,478.00
767.59,466.00
769.16,470.00
770.74,499.00
772.31,562.00
773.88,689.00
775.45,545.00
777.02,662.00
778.59,631.00
780.16,662.00
781.73,736.00
783.30,735.00
784.86,802.00
